,actor_type,actor_id,action_type,action_time,object_type,object_id,channel_type,channel_id,txn_amt,original_currency_code,merchant_category_code,card_type,card_level,partition_time,theme
0,customer_id,4,purchase_consumption,3696975741,merchant_nbr,VUAFPKBFAIENYETOLYIX,credit_card,GPSHLCABRIQBVOKVCUNK,1173.4403405275684,TWD,05971,B,5,3696969600,cc_txn
1,customer_id,29,purchase_consumption,3696975741,merchant_nbr,VUAFPKBFAIENYETOLYIX,credit_card,GPSHLCABRIQBVOKVCUNK,1173.4403405275684,TWD,05971,B,5,3696969600,cc_txn
2,customer_id,18,purchase_consumption,3696975866,merchant_nbr,HJMGNAQEFRZMCIDBHLSR,credit_card,GOBOOQKAPKTNJLDLXXDI,177.63228741462754,TWD,03723,B,3,3696969600,cc_txn
3,customer_id,43,purchase_consumption,3696975866,merchant_nbr,HJMGNAQEFRZMCIDBHLSR,credit_card,GOBOOQKAPKTNJLDLXXDI,177.63228741462754,TWD,03723,B,3,3696969600,cc_txn
4,customer_id,15,purchase_consumption,3696976193,merchant_nbr,AQPRQWDZXOLHYVJBTWFY,credit_card,WSBGQLGVXQBVEDZRVODM,1031.9586884543096,TWD,07941,E,5,3696969600,cc_txn
5,customer_id,40,purchase_consumption,3696976193,merchant_nbr,AQPRQWDZXOLHYVJBTWFY,credit_card,WSBGQLGVXQBVEDZRVODM,1031.9586884543096,TWD,07941,E,5,3696969600,cc_txn
6,customer_id,9,purchase_consumption,3696976255,merchant_nbr,MPEPDLIZNVLEJTBLMCPI,credit_card,ABKNUQRDAVAFFZLSRLPM,578.138328514272,TWD,03515,C,3,3696969600,cc_txn
7,customer_id,34,purchase_consumption,3696976255,merchant_nbr,MPEPDLIZNVLEJTBLMCPI,credit_card,ABKNUQRDAVAFFZLSRLPM,578.138328514272,TWD,03515,C,3,3696969600,cc_txn
8,customer_id,19,purchase_consumption,3696979236,merchant_nbr,VPKWUKNPERZPOINTZVPH,credit_card,OQZMTRUULVGAPIDMCENC,1972.355933390321,TWD,03811,D,2,3696969600,cc_txn
9,customer_id,44,purchase_consumption,3696979236,merchant_nbr,VPKWUKNPERZPOINTZVPH,credit_card,OQZMTRUULVGAPIDMCENC,1972.355933390321,TWD,03811,D,2,3696969600,cc_txn
