,actor_type,actor_id,action_type,action_time,object_type,object_id,channel_type,channel_id,amt,currency_code,partition_time,theme
0,customer_id,14,TWD_demand_deposit,3696977211,credit_card_payment,ZXPQYYTMNBEQMAXCVXNI,digital,MMB,12.716292824188915,TWD,3696969600,mybank
1,customer_id,39,TWD_demand_deposit,3696977211,credit_card_payment,ZXPQYYTMNBEQMAXCVXNI,digital,MMB,12.716292824188915,TWD,3696969600,mybank
2,customer_id,23,fund,3696978460,general_purchase,PKYEOQSCYIJQROCCDIJX,digital,MMB,265.2700426424058,TWD,3696969600,mybank
3,customer_id,48,fund,3696978460,general_purchase,PKYEOQSCYIJQROCCDIJX,digital,MMB,265.2700426424058,TWD,3696969600,mybank
4,customer_id,12,fund,3696980372,general_purchase,HJMLYNLMTJMTUYBEKXSA,digital,MyBank,8.253316590095476,TWD,3696969600,mybank
5,customer_id,37,fund,3696980372,general_purchase,HJMLYNLMTJMTUYBEKXSA,digital,MyBank,8.253316590095476,TWD,3696969600,mybank
6,customer_id,14,TWD_demand_deposit,3697011443,credit_card_payment,OAYVTFPFJFTSCRXTNPWD,digital,MyBank,570.5090369674273,USD,3696969600,mybank
7,customer_id,39,TWD_demand_deposit,3697011443,credit_card_payment,OAYVTFPFJFTSCRXTNPWD,digital,MyBank,570.5090369674273,USD,3696969600,mybank
8,customer_id,15,fund,3697017442,general_purchase,METDNNBNKNESNLQEWPXH,digital,MyBank,1133.0722155472808,TWD,3696969600,mybank
9,customer_id,40,fund,3697017442,general_purchase,METDNNBNKNESNLQEWPXH,digital,MyBank,1133.0722155472808,TWD,3696969600,mybank
10,customer_id,15,TWD_demand_deposit,3697018916,credit_card_payment,FRPUKIGLTVSDAWFEVYBZ,digital,MyBank,47.3346573365205,TWD,3696969600,mybank
11,customer_id,40,TWD_demand_deposit,3697018916,credit_card_payment,FRPUKIGLTVSDAWFEVYBZ,digital,MyBank,47.3346573365205,TWD,3696969600,mybank
12,customer_id,22,fund,3697024081,fixed_quota_purchase,XUSXWXTTEPPGDUGOISML,digital,MyBank,261.85890072460455,USD,3696969600,mybank
13,customer_id,47,fund,3697024081,fixed_quota_purchase,XUSXWXTTEPPGDUGOISML,digital,MyBank,261.85890072460455,USD,3696969600,mybank
14,customer_id,15,fund,3697034384,general_purchase,OXLSCDITRMTASUMRCGRS,digital,MMB,340.47476528636236,TWD,3696969600,mybank
15,customer_id,40,fund,3697034384,general_purchase,OXLSCDITRMTASUMRCGRS,digital,MMB,340.47476528636236,TWD,3696969600,mybank
16,customer_id,18,fund,3697044224,fixed_quota_purchase,QFNLZXGABIIBBIQSADKD,digital,MMB,2476.6665194986554,TWD,3696969600,mybank
17,customer_id,43,fund,3697044224,fixed_quota_purchase,QFNLZXGABIIBBIQSADKD,digital,MMB,2476.6665194986554,TWD,3696969600,mybank
18,customer_id,2,fund,3697051620,general_purchase,NEQKVTZQRDKBFTWTHSVB,digital,MMB,3543.9143542621555,TWD,3696969600,mybank
19,customer_id,27,fund,3697051620,general_purchase,NEQKVTZQRDKBFTWTHSVB,digital,MMB,3543.9143542621555,TWD,3696969600,mybank
20,customer_id,25,fund,3697053701,general_purchase,JZFCYRXLBOCRPMWYVVDU,digital,MMB,774.4774911774742,TWD,3696969600,mybank
21,customer_id,50,fund,3697053701,general_purchase,JZFCYRXLBOCRPMWYVVDU,digital,MMB,774.4774911774742,TWD,3696969600,mybank
22,customer_id,22,fund,3697062998,general_purchase,UKIRWVVXZQXUAOZQWHSX,digital,MMB,95.12701625524774,USD,3696969600,mybank
23,customer_id,47,fund,3697062998,general_purchase,UKIRWVVXZQXUAOZQWHSX,digital,MMB,95.12701625524774,USD,3696969600,mybank
24,customer_id,23,TWD_demand_deposit,3697069232,other_payment,BKZDRNXRJHZDAJKILDMM,digital,MyBank,182.34884549287705,USD,3696969600,mybank
25,customer_id,48,TWD_demand_deposit,3697069232,other_payment,BKZDRNXRJHZDAJKILDMM,digital,MyBank,182.34884549287705,USD,3696969600,mybank
26,customer_id,22,TWD_demand_deposit,3697071031,transfer,OLHYVJBTWFYWSBGQLGVX,digital,MyBank,317.7673904897979,USD,3696969600,mybank
27,customer_id,47,TWD_demand_deposit,3697071031,transfer,OLHYVJBTWFYWSBGQLGVX,digital,MyBank,317.7673904897979,USD,3696969600,mybank
28,customer_id,11,fund,3697075110,fixed_quota_purchase,ONQCMBAOMQOKWWZPIGEF,digital,MMB,944.0742149216196,USD,3696969600,mybank
29,customer_id,36,fund,3697075110,fixed_quota_purchase,ONQCMBAOMQOKWWZPIGEF,digital,MMB,944.0742149216196,USD,3696969600,mybank
30,customer_id,14,TWD_demand_deposit,3697088761,other_payment,YVRURSPAFVQSBDRHXBQC,digital,MMB,9.083721346120246,USD,3696969600,mybank
31,customer_id,39,TWD_demand_deposit,3697088761,other_payment,YVRURSPAFVQSBDRHXBQC,digital,MMB,9.083721346120246,USD,3696969600,mybank
32,customer_id,2,TWD_demand_deposit,3697110862,transfer,TGPVYFXRKRGOCOIVSSPR,digital,MMB,3277.201976898659,TWD,3696969600,mybank
33,customer_id,27,TWD_demand_deposit,3697110862,transfer,TGPVYFXRKRGOCOIVSSPR,digital,MMB,3277.201976898659,TWD,3696969600,mybank
34,customer_id,8,fund,3697127734,general_purchase,WLNLUEJNXJOTEZIJFILC,digital,MMB,4466.164093761476,TWD,3696969600,mybank
