,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,customer_id,2,inbound,3696974030,call_purpose,2_19_162,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""KEZSKOKKZADUAAGWJNVQ\""}"," \""object\"": {\""type_desc\"": \""19\"""," \""detail_desc\"": \""162\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
1,customer_id,27,inbound,3696974030,call_purpose,2_19_162,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""KEZSKOKKZADUAAGWJNVQ\""}"," \""object\"": {\""type_desc\"": \""19\"""," \""detail_desc\"": \""162\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
2,customer_id,5,inbound,3696978134,call_purpose,1_18_224,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""FEVYBZKGBYDSESTGNELD\""}"," \""object\"": {\""type_desc\"": \""18\"""," \""detail_desc\"": \""224\"""," \""business_desc\"": \""1\""}}""",3696969600,cti
3,customer_id,30,inbound,3696978134,call_purpose,1_18_224,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""FEVYBZKGBYDSESTGNELD\""}"," \""object\"": {\""type_desc\"": \""18\"""," \""detail_desc\"": \""224\"""," \""business_desc\"": \""1\""}}""",3696969600,cti
4,customer_id,5,inbound,3696987105,call_purpose,0_2_167,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""MGKNBXMZZZQGUYWERCMF\""}"," \""object\"": {\""type_desc\"": \""2\"""," \""detail_desc\"": \""167\"""," \""business_desc\"": \""0\""}}""",3696969600,cti
5,customer_id,30,inbound,3696987105,call_purpose,0_2_167,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""MGKNBXMZZZQGUYWERCMF\""}"," \""object\"": {\""type_desc\"": \""2\"""," \""detail_desc\"": \""167\"""," \""business_desc\"": \""0\""}}""",3696969600,cti
6,customer_id,12,inbound,3696991853,call_purpose,2_19_85,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""AAEASDZRLIUWRNSVHMSK\""}"," \""object\"": {\""type_desc\"": \""19\"""," \""detail_desc\"": \""85\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
7,customer_id,37,inbound,3696991853,call_purpose,2_19_85,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""AAEASDZRLIUWRNSVHMSK\""}"," \""object\"": {\""type_desc\"": \""19\"""," \""detail_desc\"": \""85\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
8,customer_id,15,inbound,3696993942,call_purpose,2_1_9,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""RIWAJWRVBNCTWCNPZTHS\""}"," \""object\"": {\""type_desc\"": \""1\"""," \""detail_desc\"": \""9\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
9,customer_id,40,inbound,3696993942,call_purpose,2_1_9,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""RIWAJWRVBNCTWCNPZTHS\""}"," \""object\"": {\""type_desc\"": \""1\"""," \""detail_desc\"": \""9\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
10,customer_id,6,inbound,3697005161,call_purpose,2_22_46,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""QSGBOTIDJHWPTMQUHIKN\""}"," \""object\"": {\""type_desc\"": \""22\"""," \""detail_desc\"": \""46\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
11,customer_id,31,inbound,3697005161,call_purpose,2_22_46,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""QSGBOTIDJHWPTMQUHIKN\""}"," \""object\"": {\""type_desc\"": \""22\"""," \""detail_desc\"": \""46\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
12,customer_id,18,inbound,3697009285,call_purpose,2_2_283,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""HXGWXMJPJWZOXPEOIFVS\""}"," \""object\"": {\""type_desc\"": \""2\"""," \""detail_desc\"": \""283\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
13,customer_id,43,inbound,3697009285,call_purpose,2_2_283,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""HXGWXMJPJWZOXPEOIFVS\""}"," \""object\"": {\""type_desc\"": \""2\"""," \""detail_desc\"": \""283\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
14,customer_id,6,inbound,3697021675,call_purpose,2_18_80,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""AQGMYLJNGQPHKFMYSYPY\""}"," \""object\"": {\""type_desc\"": \""18\"""," \""detail_desc\"": \""80\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
15,customer_id,31,inbound,3697021675,call_purpose,2_18_80,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""AQGMYLJNGQPHKFMYSYPY\""}"," \""object\"": {\""type_desc\"": \""18\"""," \""detail_desc\"": \""80\"""," \""business_desc\"": \""2\""}}""",3696969600,cti
16,customer_id,4,inbound,3697023174,call_purpose,1_11_105,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""TBZLRDKEWYWGZBIPOYHA\""}"," \""object\"": {\""type_desc\"": \""11\"""," \""detail_desc\"": \""105\"""," \""business_desc\"": \""1\""}}""",3696969600,cti
17,customer_id,29,inbound,3697023174,call_purpose,1_11_105,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""TBZLRDKEWYWGZBIPOYHA\""}"," \""object\"": {\""type_desc\"": \""11\"""," \""detail_desc\"": \""105\"""," \""business_desc\"": \""1\""}}""",3696969600,cti
18,customer_id,16,inbound,3697028027,call_purpose,1_21_234,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""TMUYLQMMONGHMGDHNVIW\""}"," \""object\"": {\""type_desc\"": \""21\"""," \""detail_desc\"": \""234\"""," \""business_desc\"": \""1\""}}""",3696969600,cti
19,customer_id,41,inbound,3697028027,call_purpose,1_21_234,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""TMUYLQMMONGHMGDHNVIW\""}"," \""object\"": {\""type_desc\"": \""21\"""," \""detail_desc\"": \""234\"""," \""business_desc\"": \""1\""}}""",3696969600,cti
20,customer_id,17,inbound,3697033597,call_purpose,0_20_243,customer_service,personal_phone_service,"{\action\"": {\""call_nbr\"": \""NKEAWQBELBWMFNLCEMET\""}"," \""object\"": {\""type_desc\"": \""20\"""," \""detail_desc\"": \""243\"""," \""business_desc\"": \""0\""}}""",3696969600,cti
