,0,1,2,3,4,5,6,7,8,9,10,11
0,customer_id,14,TWD_demand_deposit,3696977211,credit_card_payment,ZXPQYYTMNBEQMAXCVXNI,digital,MMB,"{\action\"": {\""amt\"": 12.716292824188915"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
1,customer_id,39,TWD_demand_deposit,3696977211,credit_card_payment,ZXPQYYTMNBEQMAXCVXNI,digital,MMB,"{\action\"": {\""amt\"": 12.716292824188915"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
2,customer_id,23,fund,3696978460,general_purchase,PKYEOQSCYIJQROCCDIJX,digital,MMB,"{\action\"": {\""amt\"": 265.2700426424058"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
3,customer_id,48,fund,3696978460,general_purchase,PKYEOQSCYIJQROCCDIJX,digital,MMB,"{\action\"": {\""amt\"": 265.2700426424058"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
4,customer_id,12,fund,3696980372,general_purchase,HJMLYNLMTJMTUYBEKXSA,digital,MyBank,"{\action\"": {\""amt\"": 8.253316590095476"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
5,customer_id,37,fund,3696980372,general_purchase,HJMLYNLMTJMTUYBEKXSA,digital,MyBank,"{\action\"": {\""amt\"": 8.253316590095476"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
6,customer_id,14,TWD_demand_deposit,3697011443,credit_card_payment,OAYVTFPFJFTSCRXTNPWD,digital,MyBank,"{\action\"": {\""amt\"": 570.5090369674273"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
7,customer_id,39,TWD_demand_deposit,3697011443,credit_card_payment,OAYVTFPFJFTSCRXTNPWD,digital,MyBank,"{\action\"": {\""amt\"": 570.5090369674273"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
8,customer_id,15,fund,3697017442,general_purchase,METDNNBNKNESNLQEWPXH,digital,MyBank,"{\action\"": {\""amt\"": 1133.0722155472808"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
9,customer_id,40,fund,3697017442,general_purchase,METDNNBNKNESNLQEWPXH,digital,MyBank,"{\action\"": {\""amt\"": 1133.0722155472808"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
10,customer_id,15,TWD_demand_deposit,3697018916,credit_card_payment,FRPUKIGLTVSDAWFEVYBZ,digital,MyBank,"{\action\"": {\""amt\"": 47.3346573365205"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
11,customer_id,40,TWD_demand_deposit,3697018916,credit_card_payment,FRPUKIGLTVSDAWFEVYBZ,digital,MyBank,"{\action\"": {\""amt\"": 47.3346573365205"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
12,customer_id,22,fund,3697024081,fixed_quota_purchase,XUSXWXTTEPPGDUGOISML,digital,MyBank,"{\action\"": {\""amt\"": 261.85890072460455"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
13,customer_id,47,fund,3697024081,fixed_quota_purchase,XUSXWXTTEPPGDUGOISML,digital,MyBank,"{\action\"": {\""amt\"": 261.85890072460455"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
14,customer_id,15,fund,3697034384,general_purchase,OXLSCDITRMTASUMRCGRS,digital,MMB,"{\action\"": {\""amt\"": 340.47476528636236"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
15,customer_id,40,fund,3697034384,general_purchase,OXLSCDITRMTASUMRCGRS,digital,MMB,"{\action\"": {\""amt\"": 340.47476528636236"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
16,customer_id,18,fund,3697044224,fixed_quota_purchase,QFNLZXGABIIBBIQSADKD,digital,MMB,"{\action\"": {\""amt\"": 2476.6665194986554"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
17,customer_id,43,fund,3697044224,fixed_quota_purchase,QFNLZXGABIIBBIQSADKD,digital,MMB,"{\action\"": {\""amt\"": 2476.6665194986554"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
18,customer_id,2,fund,3697051620,general_purchase,NEQKVTZQRDKBFTWTHSVB,digital,MMB,"{\action\"": {\""amt\"": 3543.9143542621555"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
19,customer_id,27,fund,3697051620,general_purchase,NEQKVTZQRDKBFTWTHSVB,digital,MMB,"{\action\"": {\""amt\"": 3543.9143542621555"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
20,customer_id,25,fund,3697053701,general_purchase,JZFCYRXLBOCRPMWYVVDU,digital,MMB,"{\action\"": {\""amt\"": 774.4774911774742"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
21,customer_id,50,fund,3697053701,general_purchase,JZFCYRXLBOCRPMWYVVDU,digital,MMB,"{\action\"": {\""amt\"": 774.4774911774742"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
22,customer_id,22,fund,3697062998,general_purchase,UKIRWVVXZQXUAOZQWHSX,digital,MMB,"{\action\"": {\""amt\"": 95.12701625524774"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
23,customer_id,47,fund,3697062998,general_purchase,UKIRWVVXZQXUAOZQWHSX,digital,MMB,"{\action\"": {\""amt\"": 95.12701625524774"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
24,customer_id,23,TWD_demand_deposit,3697069232,other_payment,BKZDRNXRJHZDAJKILDMM,digital,MyBank,"{\action\"": {\""amt\"": 182.34884549287705"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
25,customer_id,48,TWD_demand_deposit,3697069232,other_payment,BKZDRNXRJHZDAJKILDMM,digital,MyBank,"{\action\"": {\""amt\"": 182.34884549287705"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
26,customer_id,22,TWD_demand_deposit,3697071031,transfer,OLHYVJBTWFYWSBGQLGVX,digital,MyBank,"{\action\"": {\""amt\"": 317.7673904897979"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
27,customer_id,47,TWD_demand_deposit,3697071031,transfer,OLHYVJBTWFYWSBGQLGVX,digital,MyBank,"{\action\"": {\""amt\"": 317.7673904897979"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
28,customer_id,11,fund,3697075110,fixed_quota_purchase,ONQCMBAOMQOKWWZPIGEF,digital,MMB,"{\action\"": {\""amt\"": 944.0742149216196"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
29,customer_id,36,fund,3697075110,fixed_quota_purchase,ONQCMBAOMQOKWWZPIGEF,digital,MMB,"{\action\"": {\""amt\"": 944.0742149216196"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
30,customer_id,14,TWD_demand_deposit,3697088761,other_payment,YVRURSPAFVQSBDRHXBQC,digital,MMB,"{\action\"": {\""amt\"": 9.083721346120246"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
31,customer_id,39,TWD_demand_deposit,3697088761,other_payment,YVRURSPAFVQSBDRHXBQC,digital,MMB,"{\action\"": {\""amt\"": 9.083721346120246"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
32,customer_id,2,TWD_demand_deposit,3697110862,transfer,TGPVYFXRKRGOCOIVSSPR,digital,MMB,"{\action\"": {\""amt\"": 3277.201976898659"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
33,customer_id,27,TWD_demand_deposit,3697110862,transfer,TGPVYFXRKRGOCOIVSSPR,digital,MMB,"{\action\"": {\""amt\"": 3277.201976898659"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
34,customer_id,8,fund,3697127734,general_purchase,WLNLUEJNXJOTEZIJFILC,digital,MMB,"{\action\"": {\""amt\"": 4466.164093761476"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
35,customer_id,33,fund,3697127734,general_purchase,WLNLUEJNXJOTEZIJFILC,digital,MMB,"{\action\"": {\""amt\"": 4466.164093761476"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
36,customer_id,23,TWD_demand_deposit,3697167762,transfer,ULMMXZUXQIBHGTHOAFNO,digital,MyBank,"{\action\"": {\""amt\"": 1254.2825894456782"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
37,customer_id,48,TWD_demand_deposit,3697167762,transfer,ULMMXZUXQIBHGTHOAFNO,digital,MyBank,"{\action\"": {\""amt\"": 1254.2825894456782"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
38,customer_id,9,fund,3697171611,fixed_quota_purchase,FGMLYTKCDURAJBWIDUFK,digital,MMB,"{\action\"": {\""amt\"": 621.791679397793"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
39,customer_id,34,fund,3697171611,fixed_quota_purchase,FGMLYTKCDURAJBWIDUFK,digital,MMB,"{\action\"": {\""amt\"": 621.791679397793"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
40,customer_id,5,TWD_demand_deposit,3697191996,transfer,OEYNRTVYJFXQPGXRNCTG,digital,MyBank,"{\action\"": {\""amt\"": 576.8546144534487"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
41,customer_id,30,TWD_demand_deposit,3697191996,transfer,OEYNRTVYJFXQPGXRNCTG,digital,MyBank,"{\action\"": {\""amt\"": 576.8546144534487"," \""currency_code\"": \""TWD\""}}""",3696969600,mybank
42,customer_id,23,fund,3697210560,fixed_quota_purchase,PMKHOMSENMDCBBVEUILW,digital,MMB,"{\action\"": {\""amt\"": 139.3475245167297"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
43,customer_id,48,fund,3697210560,fixed_quota_purchase,PMKHOMSENMDCBBVEUILW,digital,MMB,"{\action\"": {\""amt\"": 139.3475245167297"," \""currency_code\"": \""USD\""}}""",3696969600,mybank
